schema_version,build_id,segment_id,event_id,event_kind,observation_timestamp,annotation_timestamp,timestamp_precision,time_rank,same_time_group_id,event_view,spatial_scope_type,spatial_scope_id,farm_ids,zone_ids,source_set,modalities,quality_flags,embedding_status
online2-v1,build_85c4aba3a72e0e321cfcf6af46eecd20a19a2c0a85fab2b70d0af677dd85840a,event_9d70e011c37e09a7cb5509ebed92959b348e5319b906df71ea2bd07465f36468,event_9d70e011c37e09a7cb5509ebed92959b348e5319b906df71ea2bd07465f36468,LOCAL_OBSERVATION,2025-02-16T02:00:00Z,,second,0,timegroup_7d9520999b109c81c5117e2c16b9b9ea5c6a572ca487141c7288b7e6705fc86a,A_actuator,FARM_ZONE,F420458:1,"[""F420458""]","[""1""]",example_set,"[""A_actuator""]",[],
online2-v1,build_85c4aba3a72e0e321cfcf6af46eecd20a19a2c0a85fab2b70d0af677dd85840a,event_bbe04240db858d11f61527ff5063c708983eaa1ac253e99c5e5f4e01f6bda314,event_bbe04240db858d11f61527ff5063c708983eaa1ac253e99c5e5f4e01f6bda314,LOCAL_OBSERVATION,2025-02-16T03:00:00Z,,second,0,timegroup_db5af2eecc073b08fb0d7c4796289661e1d43ead8c2823b0be2324c900e98abb,A_actuator,FARM_ZONE,F420458:1,"[""F420458""]","[""1""]",example_set,"[""A_actuator""]",[],
online2-v1,build_85c4aba3a72e0e321cfcf6af46eecd20a19a2c0a85fab2b70d0af677dd85840a,event_b9ab4096aea969f2d3850158e8e296baa6919ea1de6e9d4fd4adecdcbffb3c10,event_b9ab4096aea969f2d3850158e8e296baa6919ea1de6e9d4fd4adecdcbffb3c10,LOCAL_OBSERVATION,2025-02-16T04:00:00Z,,second,0,timegroup_52500d330c7d6ac1acc43e983dd9182247590f4b7a30a400803b5d744dbfd1ba,A_actuator,FARM_ZONE,F420458:1,"[""F420458""]","[""1""]",example_set,"[""A_actuator""]",[],
online2-v1,build_85c4aba3a72e0e321cfcf6af46eecd20a19a2c0a85fab2b70d0af677dd85840a,event_21675cf2349fc308a6387f1aa8b386057abf01cf95254ec020b7ded63b0b3d72,event_21675cf2349fc308a6387f1aa8b386057abf01cf95254ec020b7ded63b0b3d72,LOCAL_OBSERVATION,2025-02-16T05:00:00Z,,second,0,timegroup_4ca1d21c8bbaa497e61a257ac7355b386ef095edc934ac17429e59685b6d141f,A_actuator,FARM_ZONE,F420458:1,"[""F420458""]","[""1""]",example_set,"[""A_actuator""]",[],
online2-v1,build_85c4aba3a72e0e321cfcf6af46eecd20a19a2c0a85fab2b70d0af677dd85840a,event_c1cfb0060b8ba78a417522abd3f390357bd8fc2b38c8638e7ea4393e6548dcda,event_c1cfb0060b8ba78a417522abd3f390357bd8fc2b38c8638e7ea4393e6548dcda,LOCAL_OBSERVATION,2025-02-16T06:00:00Z,,second,0,timegroup_b9e3616a82310af7bb0ea5148799f352ea972d8be6e50b14ecd48f920dc71ab4,A_actuator,FARM_ZONE,F420458:1,"[""F420458""]","[""1""]",example_set,"[""A_actuator""]",[],
online2-v1,build_85c4aba3a72e0e321cfcf6af46eecd20a19a2c0a85fab2b70d0af677dd85840a,event_e7aa5473de78a6e31a74e093596d545371a4e9e9a27f444d72ca0e2b1ca41275,event_e7aa5473de78a6e31a74e093596d545371a4e9e9a27f444d72ca0e2b1ca41275,LOCAL_OBSERVATION,2025-02-16T07:00:00Z,,second,0,timegroup_55c9c89640f442361f9d4ec156b6a7df423fcdc466f6c911d04ffae1eaa4da88,A_actuator,FARM_ZONE,F420458:1,"[""F420458""]","[""1""]",example_set,"[""A_actuator""]",[],
online2-v1,build_85c4aba3a72e0e321cfcf6af46eecd20a19a2c0a85fab2b70d0af677dd85840a,event_557c54f65f761fa7a2485a13ba54a1ed4b62414d3f1b5ec9af28df61f568a3a1,event_557c54f65f761fa7a2485a13ba54a1ed4b62414d3f1b5ec9af28df61f568a3a1,LOCAL_OBSERVATION,2025-02-16T08:00:00Z,,second,0,timegroup_0354244ef09c901b9fd2ac0c7971aec3478a7805c4b19b7ef50185c16d39f4ac,A_actuator,FARM_ZONE,F420458:1,"[""F420458""]","[""1""]",example_set,"[""A_actuator""]",[],
online2-v1,build_85c4aba3a72e0e321cfcf6af46eecd20a19a2c0a85fab2b70d0af677dd85840a,event_6301f221c542849db19d89d7283575a95c2688a33b96d240805c77202c45ec35,event_6301f221c542849db19d89d7283575a95c2688a33b96d240805c77202c45ec35,LOCAL_OBSERVATION,2025-02-16T09:00:00Z,,second,0,timegroup_143bfe556300bcfd0c7eab28cdaf2b00e1a50dfa07fde5cc529707a8c4706197,A_actuator,FARM_ZONE,F420458:1,"[""F420458""]","[""1""]",example_set,"[""A_actuator""]",[],
online2-v1,build_85c4aba3a72e0e321cfcf6af46eecd20a19a2c0a85fab2b70d0af677dd85840a,event_05e0aa7d02692d6e3f82a27dc74a994e37fd66785d33e0ffb8543bd49723bf31,event_05e0aa7d02692d6e3f82a27dc74a994e37fd66785d33e0ffb8543bd49723bf31,LOCAL_OBSERVATION,2025-02-16T10:00:00Z,,second,0,timegroup_c466b26a0d0699f1c5e917c6a806e33636d311900f9cd8f7e0177f9762da3a86,A_actuator,FARM_ZONE,F420458:1,"[""F420458""]","[""1""]",example_set,"[""A_actuator""]",[],
online2-v1,build_85c4aba3a72e0e321cfcf6af46eecd20a19a2c0a85fab2b70d0af677dd85840a,event_9287dcbdb01ebc5b356a7dc27604d566f51c8f6c1b9ffcc08e96e9baa3f61c0e,event_9287dcbdb01ebc5b356a7dc27604d566f51c8f6c1b9ffcc08e96e9baa3f61c0e,LOCAL_OBSERVATION,2025-02-16T11:00:00Z,,second,0,timegroup_32e28064ffacbf414f98c55c43419af8bbed203be8fc2a1287d361ecceed7894,A_actuator,FARM_ZONE,F420458:1,"[""F420458""]","[""1""]",example_set,"[""A_actuator""]",[],
online2-v1,build_85c4aba3a72e0e321cfcf6af46eecd20a19a2c0a85fab2b70d0af677dd85840a,event_d3864d872cc797f731b117492a12416287b0a0e5e0ba725db65884c8f066dff9,event_d3864d872cc797f731b117492a12416287b0a0e5e0ba725db65884c8f066dff9,LOCAL_OBSERVATION,2025-02-16T12:00:00Z,,second,0,timegroup_04fbac798447c683804b3dfebb78654f068927f9e4e2a0fba33d1eef0c4b48c2,A_actuator,FARM_ZONE,F420458:1,"[""F420458""]","[""1""]",example_set,"[""A_actuator""]",[],
online2-v1,build_85c4aba3a72e0e321cfcf6af46eecd20a19a2c0a85fab2b70d0af677dd85840a,event_2f11ae71949fc64223ccee834bf64b2c4c1c60608e55c1fca52b6e61cd31060e,event_2f11ae71949fc64223ccee834bf64b2c4c1c60608e55c1fca52b6e61cd31060e,LOCAL_OBSERVATION,2025-02-16T13:00:00Z,,second,0,timegroup_901a299362c53f8225361db07b9acf1452f4eea924077c3e62e0d8563f6e76b2,A_actuator,FARM_ZONE,F420458:1,"[""F420458""]","[""1""]",example_set,"[""A_actuator""]",[],
online2-v1,build_85c4aba3a72e0e321cfcf6af46eecd20a19a2c0a85fab2b70d0af677dd85840a,event_776d194f9d3374a0bf5bf41c4309cec6676d1f3a8b6b51fd0ecf46033327aa4d,event_776d194f9d3374a0bf5bf41c4309cec6676d1f3a8b6b51fd0ecf46033327aa4d,LOCAL_OBSERVATION,2025-02-16T14:00:00Z,,second,0,timegroup_0fb5a7940c259e3515a0305cb496ccc19568bc054409e7c7a1fb0d3b0969b0bd,A_actuator,FARM_ZONE,F420458:1,"[""F420458""]","[""1""]",example_set,"[""A_actuator""]",[],
online2-v1,build_85c4aba3a72e0e321cfcf6af46eecd20a19a2c0a85fab2b70d0af677dd85840a,event_ddeb998526aebcce39dfe756e139bb2c3f09bdc7cdb7ec907fe8b355af0c0289,event_ddeb998526aebcce39dfe756e139bb2c3f09bdc7cdb7ec907fe8b355af0c0289,LOCAL_OBSERVATION,2025-02-16T15:00:00Z,,second,0,timegroup_2729eb4115c142263b139e42b52ed557f023334cb39059e44bb39d887ab690de,A_actuator,FARM_ZONE,F420458:1,"[""F420458""]","[""1""]",example_set,"[""A_actuator""]",[],
