event_id,median_saliency,mean_saliency,saliency_iqr,positive_agreement_count,top_rank_agreement_count,fold_0_score,fold_1_score,fold_2_score,fold_3_score,fold_4_score,timestamp,view,zone,case_age_hours,local_hour
event_caa28c54e620624743778fffd1c35ad2da1080382107bece649580de436e2deb,0.3004073319755601,0.3342158859470469,0.15911405295315684,1,0,9.971758117899299e-05,-0.00036401537363417447,-0.0007125049596652389,-0.0008279758621938527,-0.00015647333930246532,2025-02-16T00:00:00,ENVIRONMENT,1,0.0,0
event_19ff9fbaf3f9e6108aafd0da7947f99c32efd88ee6b068b5cfb5d825bfce0e9a,0.14129327902240327,0.3093686354378819,0.4964358452138493,2,0,0.0010479064658284187,0.0002684298378881067,-0.0012144293868914247,-0.0017229639925062656,-0.001323371077887714,2025-02-16T00:00:00,ROOTZONE,1,0.0,0
event_b546dc74ea77c215bc06cb49766bd372fb92adf0adb2249770dbf5f1871a907f,0.3210285132382892,0.3263238289205702,0.11507128309572301,1,0,0.0015585001092404127,-0.00030682297074235976,-0.0007685459568165243,-0.0013724029995501041,-0.0005025938153266907,2025-02-16T00:00:00,ACTUATOR,1,0.0,0
event_a24bbd02c9e442afc0d82ce1ad283ef2dbd3b6e4684b33d4e3fd62ac668cf7cb,0.29429735234215887,0.3128818737270876,0.20112016293279023,1,0,0.00021756545174866915,-0.0005696893204003572,-0.001133323647081852,-0.0001597806258359924,-0.00059116305783391,2025-02-16T00:00:00,ENVIRONMENT,2,0.0,0
event_94a1c9555a6a8c6142b451336ef3c9768e501800a9a9d9186e405f14a12f622c,0.31568228105906315,0.3556517311608961,0.5328411405295316,2,0,0.0016763712046667933,0.00027502517332322896,-0.001689551630988717,-0.0005691797123290598,-0.0015112173277884722,2025-02-16T00:00:00,ROOTZONE,2,0.0,0
event_98af57eb9269303254a44dcd5a8273641cbe5f98999ac001d820b0d33188473f,0.21563136456211812,0.27087576374745415,0.020875763747454174,1,0,0.0014222485478967428,-0.0006282019312493503,-0.0013436779845505953,-0.0009495568810962141,-0.000897024292498827,2025-02-16T00:00:00,ACTUATOR,2,0.0,0
event_06d03991ad0d7a4e7ca1b2a915f9197864fd93c006e55ab9096cb36178ffb51d,0.21079429735234215,0.2130855397148676,0.11354378818737274,0,0,-0.0019023580243811011,-0.000604143482632935,-0.0013486146926879883,-0.0011667277431115508,-0.00048321319627575576,2025-02-16T00:00:00,ENVIRONMENT,3,0.0,0
event_02c4e58c123c06573f9c96b3284695db57692ccfe3472438dcfed54263cf2897,0.057535641547861505,0.13350305498981668,0.2069755600814664,0,0,-0.002497824840247631,-0.0002583832247182727,-0.0023554638028144836,-0.0021877442486584187,-0.002002628520131111,2025-02-16T00:00:00,ROOTZONE,3,0.0,0
event_ac8eb5fb54ebe76e49c63657a81db0068b4ffd3dd6a0ae25a62cea07f9150d39,0.20952138492871691,0.18946028513238286,0.15122199592668026,0,0,-0.0008326797978952527,-0.0006079673185013235,-0.0016228817403316498,-0.0017060008831322193,-0.0008638158906251192,2025-02-16T00:00:00,ACTUATOR,3,0.0,0
event_fa6c2bbdde7873e96ace074645dd2b0e8f7c0c80c2d03589c8048876c616d058,0.20646639511201628,0.2074847250509165,0.056771894093686354,0,0,-0.0032839712221175432,-0.0003253255854360759,-0.0006870303768664598,-0.0014787574764341116,-0.0009697936475276947,2025-02-16T00:00:00,ENVIRONMENT,4,0.0,0
