event_id,median_saliency,mean_saliency,saliency_iqr,positive_agreement_count,top_rank_agreement_count,fold_0_score,fold_1_score,fold_2_score,fold_3_score,fold_4_score,timestamp,view,zone,case_age_hours,local_hour
event_caa28c54e620624743778fffd1c35ad2da1080382107bece649580de436e2deb,0.3004073319755601,0.3342158859470469,0.15911405295315684,1,0,9.971758117899299e-05,-0.00036401537363417447,-0.0007125049596652389,-0.0008279758621938527,-0.00015647333930246532,2025-02-16T00:00:00,ENVIRONMENT,1,0.0,0
event_19ff9fbaf3f9e6108aafd0da7947f99c32efd88ee6b068b5cfb5d825bfce0e9a,0.14129327902240327,0.3093686354378819,0.4964358452138493,2,0,0.0010479064658284187,0.0002684298378881067,-0.0012144293868914247,-0.0017229639925062656,-0.001323371077887714,2025-02-16T00:00:00,ROOTZONE,1,0.0,0
event_b546dc74ea77c215bc06cb49766bd372fb92adf0adb2249770dbf5f1871a907f,0.3210285132382892,0.3263238289205702,0.11507128309572301,1,0,0.0015585001092404127,-0.00030682297074235976,-0.0007685459568165243,-0.0013724029995501041,-0.0005025938153266907,2025-02-16T00:00:00,ACTUATOR,1,0.0,0
event_a24bbd02c9e442afc0d82ce1ad283ef2dbd3b6e4684b33d4e3fd62ac668cf7cb,0.29429735234215887,0.3128818737270876,0.20112016293279023,1,0,0.00021756545174866915,-0.0005696893204003572,-0.001133323647081852,-0.0001597806258359924,-0.00059116305783391,2025-02-16T00:00:00,ENVIRONMENT,2,0.0,0
event_94a1c9555a6a8c6142b451336ef3c9768e501800a9a9d9186e405f14a12f622c,0.31568228105906315,0.3556517311608961,0.5328411405295316,2,0,0.0016763712046667933,0.00027502517332322896,-0.001689551630988717,-0.0005691797123290598,-0.0015112173277884722,2025-02-16T00:00:00,ROOTZONE,2,0.0,0
event_98af57eb9269303254a44dcd5a8273641cbe5f98999ac001d820b0d33188473f,0.21563136456211812,0.27087576374745415,0.020875763747454174,1,0,0.0014222485478967428,-0.0006282019312493503,-0.0013436779845505953,-0.0009495568810962141,-0.000897024292498827,2025-02-16T00:00:00,ACTUATOR,2,0.0,0
event_756f1cb5a616894d10710e66aabce281a6d1331020d3e6b42274719876295957,0.09495926680244399,0.25280040733197556,0.210030549898167,1,0,-0.004699353128671646,0.0008528605103492737,-0.0006814284133724868,-0.0022020793985575438,-0.002651289803907275,2025-02-16T00:00:00,ROOTZONE,4,0.0,0
event_3cb80d7b918efe3779a57706c85a6dbae2a3ba4bf18300c8a7f4e5bd804bb081,0.4755600814663951,0.4413951120162933,0.1234725050916497,3,0,-0.0010837189620360732,2.0916573703289032e-05,-0.000738224305678159,1.3101787772029638e-05,0.0006697162752971053,2025-02-16T01:00:00,ENVIRONMENT,1,1.0,1
event_f0f8bd7eb767189630b22d8f424001694f30057af3af3d702be90020885a4a6d,0.3189918533604888,0.3937372708757637,0.058808553971486766,1,1,-0.0015564810018986464,0.0010588581208139658,-0.001676799962297082,-0.0003649479476734996,-0.0005115802632644773,2025-02-16T01:00:00,ROOTZONE,1,1.0,1
event_1c97d299abfd7f85706753af3daa7fdae49e0086d6a0381e86f085e1ef905556,0.4791242362525458,0.4028004073319755,0.1952647657841141,3,0,3.287171421106905e-05,0.000105179293313995,-0.0008982675499282777,-0.0005351179279386997,0.00021164046484045684,2025-02-16T01:00:00,ACTUATOR,1,1.0,1
