event_id,median_saliency,mean_saliency,saliency_iqr,positive_agreement_count,top_rank_agreement_count,fold_0_score,fold_1_score,fold_2_score,fold_3_score,fold_4_score,timestamp,view,zone,case_age_hours,local_hour
event_84befc24fe59478baea3259ebb17a421508dbfddba80d168a96cdc29ee6333b5,0.9073319755600815,0.7757637474541752,0.2976069246435845,4,3,0.004264771938323975,0.0018168604001402855,-0.00036330585135146976,0.0018360428512096405,0.0006199907511472702,2025-02-21T01:00:00,ROOTZONE,2,121.0,1
event_5e7f0fa1134ae692dd6adb9fa51c27dfd77cc11e65f18f8717fa29a385b31328,0.9302443991853361,0.8168024439918533,0.32917515274949094,5,3,0.004688606597483158,0.0016725222812965512,7.093316526152194e-05,0.002199057722464204,0.0005923823919147253,2025-02-23T01:00:00,ROOTZONE,2,169.0,1
event_601079d098a0c7d55e926a90007bb5a2407b6b4405c54132ad64b2cdbbd0ce4b,0.9312627291242362,0.8181262729124237,0.21537678207739308,5,3,0.005857681855559349,0.0014038380468264222,0.0005579821299761534,0.0015861436259001493,4.120785160921514e-05,2025-02-23T08:00:00,ROOTZONE,2,176.0,8
event_ec867fa238660ae6b3679bfa870c93144bf53e0a4c6c03ecb699441ef986c2af,0.9304989816700611,0.8087067209775969,0.2309063136456212,4,3,0.0046922145411372185,0.0015342803671956062,0.0025474217254668474,0.0007849172106944025,-0.00017550209304317832,2025-02-23T11:00:00,ROOTZONE,2,179.0,11
event_024091ec7cd4bac62bedbb2538eef2323bcac9206e032f4a9977c759bbae0f19,0.9409368635437881,0.7991853360488799,0.054735234215885886,4,4,0.006213620770722628,0.0013832447584718466,0.001423628767952323,0.0016605546697974205,-0.0009872496593743563,2025-02-23T16:00:00,ROOTZONE,2,184.0,16
event_59225e8071e4e61c82c221d62366e53d2a88c551ec08fbbfdf07724f75ed9163,0.9307535641547862,0.810437881873727,0.0353869653767821,4,4,0.004874877631664276,0.0011395885376259685,0.0022074151784181595,0.0014108441537246108,-0.0005325968959368765,2025-02-23T17:00:00,ROOTZONE,1,185.0,17
event_00c9277e5e688d33109a2e8b26a44dcdf67c692f5e81d7b005c9b217d8e3bbfa,0.9786150712830958,0.8267820773930753,0.0259674134419553,4,4,0.005486504640430212,0.001557061681523919,0.002581734210252762,0.0029774687718600035,-0.0009747579460963607,2025-02-23T17:00:00,ROOTZONE,2,185.0,17
event_b55ea523a2b598e784aae784c1f6dc0bf40c772ff26edc96f03f04df0121af42,0.9770875763747454,0.8661405295315682,0.07408350305498979,5,4,0.004308497067540884,0.0018808874301612377,0.0023471019230782986,0.0021982803009450436,2.6388283004052937e-05,2025-02-23T18:00:00,ROOTZONE,2,186.0,18
event_412ed841b6261db9be21da8ed74af257b82591d0d58d45e3216b9d8b3095e2f3,0.9332993890020367,0.800560081466395,0.1636965376782078,4,3,0.00475804740563035,0.0012827416649088264,0.0018805160652846098,-0.0002911899355240166,0.0009599030017852783,2025-02-23T19:00:00,ROOTZONE,1,187.0,19
event_a20b95a2f9c566c1f0295853f20c7d080bb33b8bddd841bbff28efed848a8bca,0.9618126272912424,0.8635437881873728,0.22606924643584525,5,3,0.005481882020831108,0.0013691683998331428,0.0023716669529676437,0.0007591425674036145,0.0006684957770630717,2025-02-23T19:00:00,ROOTZONE,2,187.0,19
