event_id,median_saliency,mean_saliency,saliency_iqr,positive_agreement_count,top_rank_agreement_count,fold_0_score,fold_1_score,fold_2_score,fold_3_score,fold_4_score,timestamp,view,zone,case_age_hours,local_hour
event_b55ea523a2b598e784aae784c1f6dc0bf40c772ff26edc96f03f04df0121af42,0.9770875763747454,0.8661405295315682,0.07408350305498979,5,4,0.004308497067540884,0.0018808874301612377,0.0023471019230782986,0.0021982803009450436,2.6388283004052937e-05,2025-02-23T18:00:00,ROOTZONE,2,186.0,18
event_55c6e70f7c0fb8727f53a2bf79548a67d54b7bec33ffd0a585d9f833dfd43754,0.980142566191446,0.8846232179226069,0.031059063136456233,5,4,0.006953466217964888,0.0015651390422135592,0.002118494128808379,0.0025667131412774324,0.00013705529272556305,2025-02-23T21:00:00,ROOTZONE,2,189.0,21
event_8bf7755cb394125049ffe89619efcdb81d137cd8f713e6a95323469c37f52255,0.9816700610997964,0.8785132382892057,0.0160386965376782,5,4,0.00636755395680666,0.001611816929653287,0.0027278424240648746,0.0019028119277209044,4.906172398477793e-05,2025-02-23T22:00:00,ROOTZONE,2,190.0,22
event_a6c52d1090a1d5ad5aba54f1c8eaa84b8d55dbfde2adeff3e3bfc548e7f1d2f4,0.9330448065173116,0.8834521384928717,0.05320773930753564,5,4,0.005538985598832369,0.001006795559078455,0.001765132532455027,0.001851721666753292,0.0005809453432448208,2025-02-23T23:00:00,ROOTZONE,2,191.0,23
event_a6caae4e99d564d27c7e67e2f2292a7ec07bbe57e36b51f90a14850acccb3a0e,0.9913441955193483,0.9735234215885946,0.0320773930753564,5,5,0.007291827350854874,0.001948957098647952,0.0016057005850598216,0.0023955469951033592,0.0017379365162923932,2025-02-24T01:00:00,ROOTZONE,2,193.0,1
event_7f1516f77d6e900211f3c6d7c47ab5b07bfb1484b7d11a9cced1569fcd1bd4fa,0.9495926680244399,0.9019857433808554,0.0705193482688391,5,4,0.007299117743968964,0.0012774611823260784,0.0013785255141556263,0.0020679684821516275,0.0006781097035855055,2025-02-24T02:00:00,ROOTZONE,2,194.0,2
event_555c0d19cf06d446843dc91d44320db1bfaad253c2bcc7edcd9814b5440fca05,0.9325356415478615,0.9318228105906312,0.05498981670061098,5,4,0.004286785610020161,0.0011507427552714944,0.002551880432292819,0.001876869355328381,0.001225396990776062,2025-02-24T03:00:00,ROOTZONE,2,195.0,3
event_cc5a05b3552ea9d9fd2693f2d3a8ec4aab2aecc213d260528c323e5a60c52156,0.9419551934826884,0.9563645621181263,0.054226069246435804,5,5,0.007663720287382603,0.0012222044169902802,0.0015290136216208339,0.0016155706252902746,0.0021612769924104214,2025-02-24T04:00:00,ROOTZONE,2,196.0,4
event_9193bf67e569dcf4ca8359d338b2a6674d3932d778736d20785cc2a0cd77d580,0.9409368635437881,0.8650712830957229,0.052189409368635475,5,4,0.008703874424099922,0.0010681337444111705,0.001855627284385264,4.495991743169725e-05,0.0018699830397963524,2025-02-24T05:00:00,ROOTZONE,1,197.0,5
event_b2ca899c1ca17398f0f023726e43b9807fb82c25bcc9cdbf0dfc738cd0a3752c,0.9643584521384929,0.9715885947046843,0.023167006109979682,5,5,0.010847589001059532,0.001352733001112938,0.002469919854775071,0.0017643780447542667,0.0017684079939499497,2025-02-24T05:00:00,ROOTZONE,2,197.0,5
event_4356e9d3883d5149407a12252bae1402909a102912d18cf4d07ba15d91aead8f,0.9536659877800407,0.8756109979633401,0.05066191446028512,5,4,0.005203799344599247,0.0016172595787793398,0.0024294706527143717,0.00015545374481007457,0.0015041966689750552,2025-02-24T05:00:00,ROOTZONE,4,197.0,5
event_b686cfb964fddc05dbb4c7843917cd6c18ccf86a772a74994ebfb32fb0b742e6,0.9437372708757638,0.9456211812627291,0.03513238289205711,5,5,0.004985979292541742,0.0014150994829833508,0.0017548336181789637,0.0014292167034000158,0.0019256377127021551,2025-02-24T06:00:00,ROOTZONE,1,198.0,6
event_6b5fd1a1a4ae1a7ba6b87eeaa4ca11346e9a49466d39ac01064bb83c785fff56,0.9867617107942973,0.9825356415478614,0.0033095723014255896,5,5,0.006724425125867128,0.0018643527291715145,0.0025273533537983894,0.002365255728363991,0.0016725637251511216,2025-02-24T06:00:00,ROOTZONE,2,198.0,6
event_c93fa0518c7bc84821740c57f300c02c1a2f3540bcdc37a532b322860c14cdbd,0.9539205702647657,0.8942973523421589,0.07204684317718935,5,4,0.005998286884278059,0.0016334359534084797,0.001350868260487914,0.0005209454102441669,0.001659387955442071,2025-02-24T08:00:00,ROOTZONE,1,200.0,8
event_754a254851893aeb9f06bd79c2902f5abe45d55e419341008820b62f5f271a3b,0.9669042769857433,0.9510692464358452,0.03233197556008138,5,4,0.0072528705932199955,0.001986910356208682,0.00213575828820467,0.0019143626559525728,0.0011361141223460436,2025-02-24T08:00:00,ROOTZONE,2,200.0,8
event_a13474eff6ac855b3eca4e5eb9cdc6c5ede09ac72d3755c82b38b4f5cd1a8d25,0.964867617107943,0.8847759674134419,0.06950101832993882,5,4,0.00853716116398573,0.0018726368434727192,0.0021953140385448933,0.0015533444238826632,0.00027605739887803793,2025-02-24T16:00:00,ROOTZONE,2,208.0,16
event_1e6948ee5494e3d7e4d074e44ace1cd610f3a4b9285cb664e6443367dd162de8,0.965122199592668,0.8745926680244398,0.04837067209775958,5,4,0.005882126744836569,0.0013983473181724548,0.002777661429718137,0.0015435682144016027,0.00021023492445237935,2025-02-24T17:00:00,ROOTZONE,1,209.0,17
event_5fec35cf4062b3d20614fff9458c38ad4a278827b041a0871d86bd1dbe7d921e,0.9844704684317719,0.8820773930753564,0.01807535641547864,5,4,0.006567501462996006,0.0015135842841118574,0.003166079754009843,0.002426636405289173,1.1904165148735046e-05,2025-02-24T17:00:00,ROOTZONE,2,209.0,17
event_d58b93fd354b6132169d4550e7b6e82ec42722ef06cc2853779a7019c6cf8115,0.9727596741344195,0.9321792260692463,0.027749490835030532,5,4,0.005651701707392931,0.001879028626717627,0.0027980180457234383,0.0020040064118802547,0.0008162902668118477,2025-02-24T18:00:00,ROOTZONE,2,210.0,18
event_3dbf86f9e47288967c9c407add2195076be2c0cb73b860e5f1d551ef4f4b3187,0.9742871690427699,0.898828920570265,0.017566191446028445,5,4,0.0070806462317705154,0.001640381757169962,0.002197155263274908,0.0020255064591765404,0.00039918284164741635,2025-02-24T21:00:00,ROOTZONE,2,213.0,21
event_cc71df97865bb10d0047ce2a9a41a3e1080055eaeab933967b7757accdb63244,0.9732688391038696,0.9544806517311608,0.046843177189409335,5,4,0.006280240137130022,0.0019445768557488918,0.0011845955159515142,0.00200917711481452,0.0015250134747475386,2025-02-25T01:00:00,ROOTZONE,2,217.0,1
event_ae5dba428261a80d640355d9704103f3d46b1377df9ccbad93231dd67ef50843,0.9228615071283096,0.9322301425661916,0.04938900203665986,5,4,0.010150820016860962,0.0010756169212982059,0.0021099895238876343,0.0014437573263421655,0.001246616360731423,2025-02-25T05:00:00,ROOTZONE,2,221.0,5
event_1060b5ef6211b13dd79e6ea468d8daa0c090f3060ebdea171b6390bbcb498b9d,0.9404276985743381,0.9296334012219958,0.03665987780040736,5,4,0.004650582559406757,0.0013750710058957338,0.0018529267981648445,0.001142516266554594,0.0018324621487408876,2025-02-25T06:00:00,ROOTZONE,1,222.0,6
event_14d92cfddfc36979b52319d2c82f8500d869ae8fe1d5374e58ab7271f7713d2c,0.9786150712830958,0.9621181262729126,0.011201629327902252,5,4,0.0057618385180830956,0.0016318378038704395,0.002365501830354333,0.00212295213714242,0.0013568551512435079,2025-02-25T06:00:00,ROOTZONE,2,222.0,6
event_2a563cec67ec3bc64e9dd063e4e52d4bca6c959132030c9c37026e21e6fd1dc2,0.9154786150712831,0.8763747454175153,0.020112016293279078,5,4,0.004313169978559017,0.0010430075926706195,0.001719916588626802,0.0018300985684618354,0.0006255070911720395,2025-02-25T12:00:00,ROOTZONE,2,228.0,12
event_5de37f03afe9fb3da72dfb67419ffba32de68906fbf558813b17cc98845be720,0.9116598778004074,0.8991344195519348,0.015529531568228117,5,4,0.00432930514216423,0.0010002809576690197,0.0018194863805547357,0.0015379242831841111,0.0010721627622842789,2025-02-25T13:00:00,ROOTZONE,2,229.0,13
event_8ecb8e23f74575001971a28bf45fb77eb276a0b682d5a51495806415ef3ba7de,0.9460285132382892,0.8709266802443991,0.0674643584521385,5,4,0.005733777768909931,0.0009611243149265647,0.0024842401035130024,0.0017160745337605476,0.00032711977837607265,2025-02-25T17:00:00,ROOTZONE,1,233.0,17
event_8a8dd2b88014807117abe4ec89be764ff93892301947df0e05018e24bdfbb880,0.9837067209775967,0.8814663951120163,0.08375763747454179,5,4,0.006529814563691616,0.0010308378841727972,0.0031654280610382557,0.002792057115584612,0.0001963225076906383,2025-02-25T17:00:00,ROOTZONE,2,233.0,17
event_18845a52eec98d0eccbb28cfd8bcb720400cb39ac4f391aba8bb9083f7c6a8f0,0.9170061099796334,0.8950101832993889,0.05320773930753564,5,4,0.004240731243044138,0.0010472032008692622,0.002998171839863062,0.0018214923329651356,0.0007114278851076961,2025-02-25T17:00:00,ROOTZONE,3,233.0,17
event_29dcbfed8b98ef992c901b84ecb90a0bcc46fdf1130926dec603b12662a26fe9,0.9518839103869654,0.9528513238289206,0.004073319755600768,5,5,0.005016846116632223,0.001290039741434157,0.0021935971453785896,0.001737456303089857,0.0016551355365663767,2025-02-25T18:00:00,ROOTZONE,1,234.0,18
event_2d17d8399195a2ef873e11e60262bd762305947c399409e2feef148b57981510,0.9781059063136456,0.9565173116089613,0.029022403258655793,5,4,0.006130649708211422,0.0013663345016539097,0.0026289308443665504,0.0024938113056123257,0.0011966296005994081,2025-02-25T18:00:00,ROOTZONE,2,234.0,18
event_5ca538afc3543aa6edf53232660f41f7f04a946e6fd5a45bdd3c26c4d55e018e,0.9460285132382892,0.9425661914460285,0.019348268839103788,5,4,0.00378103693947196,0.001258334843441844,0.002371996408328414,0.0017117764800786972,0.0017763753421604633,2025-02-25T18:00:00,ROOTZONE,3,234.0,18
event_71c495bfbc17e3f6d97bbdf5bd7386a61e424481e19443a576b021358ae1dd3d,0.9315173116089613,0.8927189409368635,0.022912423625254585,5,4,0.005603204946964979,0.001060432055965066,0.001730499672703445,0.0006666683475486934,0.001585996593348682,2025-02-25T19:00:00,ROOTZONE,1,235.0,19
event_d9a3da5b3aa05690b8323dc83446c96e2a5ce722e53224088622b2811d78b125,0.9439918533604889,0.9476069246435845,0.07281059063136452,5,5,0.006619458086788654,0.0010247734608128667,0.0025260532274842262,0.0014482710976153612,0.0015892630908638239,2025-02-25T19:00:00,ROOTZONE,2,235.0,19
event_bd4a78989b9c646e01f019216efae664ab894e793142ff1e521bc0e967ed84d0,0.9355906313645621,0.8894602851323828,0.05702647657841142,5,4,0.005444518756121397,0.0009879118297249079,0.0023304023779928684,0.0016096655745059252,0.0006348462193273008,2025-02-25T20:00:00,ROOTZONE,2,236.0,20
event_b27d03cd14c20cfadd67a142fc598491b2c1835a39f7b18614704f66af0574ce,0.9363543788187373,0.9040733197556008,0.06491853360488797,5,4,0.0062136659398674965,0.00099885743111372,0.0018088982906192541,0.0019941485952585936,0.0007975164335221052,2025-02-25T21:00:00,ROOTZONE,1,237.0,21
event_72b83c03e16775b0e240872ce4aece1611bb072f441aa62dc9e16aa29497a220,0.9742871690427699,0.9223523421588595,0.07892057026476584,5,4,0.00723661296069622,0.0010407702066004276,0.0022968221455812454,0.002907567424699664,0.000812379876151681,2025-02-25T21:00:00,ROOTZONE,2,237.0,21
event_80ce959a531658000b2325f324220f8aa626976d8b87f371015a64bfc891e7aa,0.9024949083503055,0.824847250509165,0.022912423625254585,5,4,0.0046106185764074326,0.0009739819215610623,0.001768777146935463,0.0014073906932026148,1.675874227657914e-05,2025-02-25T22:00:00,ROOTZONE,1,238.0,22
event_162544d7963891ce2de22113e66107b563bf1a4e1c0336250ca022d185997ad0,0.9231160896130346,0.8758655804480652,0.08248472505091653,5,4,0.0071297939866781235,0.0010810160310938954,0.0013558064820244908,0.0022792776580899954,0.0003789207257796079,2025-02-26T00:00:00,ROOTZONE,2,240.0,0
