image_id,source_path,file_exists,decode_valid,file_size,width,height,format,EXIF_orientation,content_hash,duplicate_hash_count,farm_id,zone_id,capture_timestamp,timestamp_precision,alignment_policy,alignment_confidence,image_role_candidate,embedding_status
event_d9d5bc445f3d12f84dc057da8eb0580dc68453ae745b77b52abe675b8b60621c,data/I_images/F605134/image_002.jpg,True,True,20820,300,204,JPEG,,7bc65dc6b668af69fb3bebe7933b6ce53468aadb6058215ed3838f731f37eeda,1,F605134,,,period,case_period_end,LOW,UNRESOLVED,pending
event_620304c8cd06ef8c0aed6e41ab5d4d65845d8a8b1cb3b4c902fabecc86111fce,data/I_images/F612614/image_001.jpg,True,True,19294,304,223,JPEG,,b594dd39c13984b68e12b4b42a7140b6ed528494b1e54163cce7d43cb2699ece,1,F612614,,,period,case_period_end,LOW,UNRESOLVED,pending
event_60d0bad4c8f102924a8c81b593246f0bb7dca329f3e913a11956d9be0e769cda,data/I_images/F662255/image_001.jpg,True,True,20491,319,216,JPEG,,321035a7b14e5246c1990eefcd1eb27c2435c536118e4a25ab66b24dd20f0266,1,F662255,,,period,case_period_end,LOW,UNRESOLVED,pending
event_eb6da18f9801578bd767da7d26c8c9e1028fc7009a1213421ad018fda4a8c40e,data/I_images/F705994/image_001.jpg,True,True,16483,300,204,JPEG,,a4893b041bff2774ead35f7ce34866bd4424499a9f7cb299b2804744e8cdea64,1,F705994,,,period,case_period_end,LOW,UNRESOLVED,pending
event_68520cb2bb4a1422e669e2c72079f8266400ae40213632d86161756157774075,data/I_images/F705994/image_003.jpg,True,True,13446,306,204,JPEG,,9e4677188276c3ade1924526785e559b1d69504df24fa03d2105e962b39215af,1,F705994,,,period,case_period_end,LOW,UNRESOLVED,pending
event_2655b0159358313dbc80224dfeef433e7177386e46a0460f38deda5432c5e15b,data/I_images/F718361/image_001.jpg,True,True,18526,306,204,JPEG,,68932fc5155e8c46a6c9b6b0daefd6db19c514cbe5172a96ccd2fe266f0b9494,1,F718361,,,period,case_period_end,LOW,UNRESOLVED,pending
event_056378269c80fb999f4d947b5ceda0e3a574d68da3f684a2f62918a91fb15565,data/I_images/F760592/image_001.jpg,True,True,18773,306,230,JPEG,,bf23734517b24c9d52d03b2be91fdf2d4b64ac1906096e66625180622203950e,1,F760592,,,period,case_period_end,LOW,UNRESOLVED,pending
event_8e6d16ca4973dbf805da157fe422cce79841132b464c0866eec556109129437c,data/I_images/F773675/image_001.jpg,True,True,16842,292,219,JPEG,,a75758f624fcf86195001489e3c9033a6be4c37cf9fbfa4a537f2a846dfe24ae,1,F773675,,,period,case_period_end,LOW,UNRESOLVED,pending
event_119d3309adaaef3e7e1584bb09e518720129a4ea72d68e98e30d86c6b3824f38,data/I_images/F806136/image_001.jpg,True,True,17028,304,228,JPEG,,3246b6f858d518f7e76f09dbb88a2ee0aa9081fa80d83d33e573ee0d1bcf7c91,1,F806136,,,period,case_period_end,LOW,UNRESOLVED,pending
event_62b18077544d108d29f84b26feeb9a8b9a28ee5061be6b403326421a907eecef,data/I_images/F806136/image_002.jpg,True,True,16944,319,216,JPEG,,931d6cd215e4e1d7c66b260b9ab0cb546802e04dad89d926d2a2146db07305bb,1,F806136,,,period,case_period_end,LOW,UNRESOLVED,pending
event_6b2d1a86ad5fafad5ec348741a8dd219b9b08532d78e2df7d92cf4ee5b8ed614,data/I_images/F814133/image_001.jpg,True,True,13983,306,204,JPEG,,eddb4a2c31098022abd36928b8d7f5c8db6a14a613647e163546f86f2674a0e7,1,F814133,,,period,case_period_end,LOW,UNRESOLVED,pending
event_d897978ab5b6ff9dced58973497547c03efc088325dc2fb8f50e66cbd73a340b,data/I_images/F826478/image_001.jpg,True,True,91745,600,454,JPEG,,7cd83bcbbfa1bf06bf2121e1875bd522cbace2bb188afb8052cbfd8b025c01ba,1,F826478,,,period,case_period_end,LOW,UNRESOLVED,pending
event_3f31a48b2e75f296fd5b95973e6d851926b15ab9b815029b2a94f2ef17a08519,data/I_images/F844403/image_001.jpg,True,True,23628,300,204,JPEG,,1ccb2697647653518ffab98ca2139213afd0a2c819d249e87d23223f56b5df23,1,F844403,,,period,case_period_end,LOW,UNRESOLVED,pending
event_1e2f0cb6809e889b7fd69a9f3b9516fbfd559ae5003b86a24e243fc6b77fe447,data/I_images/F844403/image_002.jpg,True,True,21776,300,204,JPEG,,3d69e04d063c6f648f2e4d51bde65b539889b3a6f86dea82fa278fddc967a168,1,F844403,,,period,case_period_end,LOW,UNRESOLVED,pending
event_f5c939817378591cea7f4ef1285bb513f177b9d2e31f2b6f291904f7de2ef663,data/I_images/F844403/image_003.jpg,True,True,19918,300,204,JPEG,,7314008b8d2e35fc67185ce442c493b63349ea9812265b7bf89eb6d011caeeb5,1,F844403,,,period,case_period_end,LOW,UNRESOLVED,pending
event_41a7e60477095c2bb8891b913f99f3f00640fb43230658d9c947535ec8993061,data/I_images/F854447/image_001.jpg,True,True,19817,306,230,JPEG,,a50a04758905873f316ddc3c36228d849906d58a58ee2d76ec25b7c310b1400e,1,F854447,,,period,case_period_end,LOW,UNRESOLVED,pending
event_ac94450844329b9ee05b52da29b1f31e50c52e7c19427e9dc6d48839ba671966,data/I_images/F854447/image_002.jpg,True,True,17307,306,204,JPEG,,2f5970925f2db7e3302f5e43d8cb0e39e424d8f4c2835b01bc862542919a5969,1,F854447,,,period,case_period_end,LOW,UNRESOLVED,pending
event_51cff433e31120c04a174ee196b64c60efa33e68a029f155755cce9cdcc446ec,data/I_images/F854780/image_001.jpg,True,True,16087,308,234,JPEG,,8e525a82a5b8229a7805645ea81bbb50b2ecd21846939fdd57e016f0efc5747a,1,F854780,,,period,case_period_end,LOW,UNRESOLVED,pending
