feature_name,feature_alias,source_column,source_file_family,event_view,raw_type,proposed_v2_type,candidate_unit,canonical_unit,unit_confidence,unit_evidence,raw_min,raw_max,p01,p05,p25,p50,p75,p95,p99,unique_count,zero_count,positive_count,negative_count,null_count,farm_constant_count,globally_constant,threshold_ready,state_mapping_ready,noise_epsilon_ready,quality_flags
substrate_temp_c,SUBSTRATE_TEMP_C,substrate_temp_c,R_rootzone,R_rootzone,float,continuous,degC,degC,HIGH,column_suffix_or_name:_c/temp,3.0,31.222,3.76,8.39,12.11,14.39,16.79,19.4,27.408099999999976,7081.0,0,73920,0,0,0,False,True,False,False,
substrate_water_content_pct,SUBSTRATE_WATER_CONTENT_PCT,substrate_water_content_pct,R_rootzone,R_rootzone,float,continuous,%,%,HIGH,column_suffix_or_name:_pct/humidity,15.42,58.34,23.63,30.9495,37.28,39.63,41.7,46.57,51.34,8139.0,0,73920,0,0,0,False,True,False,False,
thermal_curtain,THERMAL_CURTAIN,thermal_curtain,A_actuator,A_actuator,float,ordinal_actuator,percent_or_flow_raw,unresolved,LOW,opening_or_flow_scale_unconfirmed,0.0,100.0,0.0,0.0,0.0,21.0,99.4,100.0,100.0,6981.0,28846,45074,0,0,0,False,False,False,True,ZERO_POS_MIX;UNIT_UNRESOLVED
timestamp,TIMESTAMP,timestamp,A_actuator,E_environment,datetime,identifier,n/a,n/a,CONFIRMED,identity_or_time_column,,,,,,,,,,0.0,0,0,0,0,0,False,False,False,False,
total_flow_rate,TOTAL_FLOW_RATE,total_flow_rate,A_actuator,A_actuator,float,flow,percent_or_flow_raw,unresolved,LOW,opening_or_flow_scale_unconfirmed,0.0,5168.4,0.0,0.0,0.0,90.0,324.0,720.0,960.0,2745.0,26987,46933,0,0,0,False,False,False,True,ZERO_POS_MIX;UNIT_UNRESOLVED
tube_rail,TUBE_RAIL,tube_rail,A_actuator,A_actuator,int,boolean,device_code_or_binary,unresolved,LOW,code_meaning_not_confirmed_in_codebook,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,73920,0,0,0,55,True,False,True,False,GLOBAL_CONSTANT;UNIT_UNRESOLVED
unopened_flower_count,UNOPENED_FLOWER_COUNT,unopened_flower_count,G_growth,G_growth,int,counter,count,count,HIGH,counter_or_ordinal_name,0.0,11.0,0.0,1.0,2.0,3.0,5.0,8.0,10.0,12.0,14,426,0,0,0,False,True,False,False,ZERO_POS_MIX
wind_direction_deg,WIND_DIRECTION_DEG,wind_direction_deg,E_environment,E_environment,float,circular,deg,deg,HIGH,column_name:direction_deg,47.972,360.0,68.69426000000001,108.647,212.121,255.554,281.20574999999997,336.514,357.436,9527.0,0,73920,0,0,0,False,True,False,False,
wind_speed_m_s,WIND_SPEED_M_S,wind_speed_m_s,E_environment,E_environment,float,continuous,m/s,m/s,HIGH,column_suffix:_m_s,0.0,8.325,0.163,0.291,0.639,1.028,1.592,2.749,4.117,2987.0,13,73907,0,0,0,False,True,False,False,ZERO_POS_MIX
zone_id,ZONE_ID,zone_id,A_actuator,E_environment,int,identifier,n/a,n/a,CONFIRMED,identity_or_time_column,1.0,4.0,1.0,1.0,1.75,2.5,3.25,4.0,4.0,4.0,0,222200,0,0,0,False,False,False,False,
farm_id,FARM_ID,farm_id,E_environment,E_environment,string,identifier,n/a,n/a,CONFIRMED,structural_identity_or_modality,,,,,,,,,,,0,0,0,0,0,False,False,False,False,
zone_id,ZONE_ID,zone_id,E_environment,E_environment,string,identifier,n/a,n/a,CONFIRMED,structural_identity_or_modality,,,,,,,,,,,0,0,0,0,0,False,False,False,False,
timestamp,TIMESTAMP,timestamp,E_environment,E_environment,string,identifier,n/a,n/a,CONFIRMED,structural_identity_or_modality,,,,,,,,,,,0,0,0,0,0,False,False,False,False,
image_file,IMAGE_FILE,image_file,I_images,I_images,string,image,n/a,n/a,CONFIRMED,structural_identity_or_modality,,,,,,,,,,,0,0,0,0,0,False,False,False,False,
interpretation_text,INTERPRETATION_TEXT,interpretation_text,interpretation,interpretation,string,text,n/a,n/a,HIGH,structural_identity_or_modality,,,,,,,,,,,0,0,0,0,0,False,False,False,False,
